NOM_REG,NOM_PROV,NOM_COM,SHAPE_LENG,DIS_ELEC,CIR_SENA,COD_COMUNA,SHAPE_Le_1,SHAPE_Area,id
Región de La Araucanía,Malleco,Ercilla,170675.5954,48,14,9204,170675.5957,497902482.3,1
Región de La Araucanía,Malleco,Lonquimay,346907.1954,49,14,9205,346907.1959,3932854069,1
Región de La Araucanía,Malleco,Los Sauces,169844.1223,48,14,9206,169844.1222,851973016.7,1
Región de La Araucanía,Malleco,Lumaco,227705.2192,48,14,9207,227705.2188,1112642686,1
Región de La Araucanía,Malleco,Purén,137030.4805,48,14,9208,137030.4804,465475975,1
Región de La Araucanía,Malleco,Renaico,114371.3684,48,14,9209,114371.3686,265033862.1,1
Región de La Araucanía,Malleco,Traiguén,191794.7765,48,14,9210,191794.7765,897793661.9,1
Región de La Araucanía,Malleco,Victoria,195942.0497,49,14,9211,195942.0492,1262086778,1
Región de Los Lagos,Chiloe,Castro,273556.6939,58,17,1020,273556.6951,469410398.9,1
Región de Los Lagos,Chiloe,Chonchi,231548.4942,58,17,1020,231548.4923,1365844853,1
Región de Los Lagos,Chiloe,Curaco de Vélez,49577.17954,58,17,1020,49577.17964,79193853.91,1
Región de Los Lagos,Chiloe,Dalcahue,302364.0328,58,17,1020,302364.0328,1243142803,1
Región de Los Lagos,Chiloe,Puqueldón,72488.11556,58,17,1020,72488.11552,95545308.36,1
Región de Los Lagos,Chiloe,Queilén,197534.3096,58,17,1020,197534.3092,328765332.4,1
Región de Los Lagos,Chiloe,Quellón,884977.6834,58,17,1020,884977.6851,3364376511,1
Región de Los Lagos,Chiloe,Quemchi,357198.1404,58,17,1020,357198.1389,436693664.1,1
Región de Los Lagos,Chiloe,Quinchao,216985.3449,58,17,1021,216985.3448,156021977.5,1
Región de Los Lagos,Llanquihue,Calbuco,462933.7505,57,17,1010,462933.7515,586823716.1,1
Región de Los Lagos,Llanquihue,Cochamó,573461.6244,57,17,1010,573461.625,3917184791,1
Región de Los Lagos,Llanquihue,Fresia,262670.3087,56,17,1010,262670.3076,1287675244,1
Región de Los Lagos,Llanquihue,Frutillar,156298.9369,56,17,1010,156298.9367,826271918,1
Región de Los Lagos,Llanquihue,Llanquihue,119609.5343,56,17,1010,119609.5343,420046922.3,1
Región de Los Lagos,Llanquihue,Los Muermos,259295.4153,56,17,1010,259295.4168,1231748680,1
Región de Los Lagos,Llanquihue,Maullín,310676.6879,57,17,1010,310676.6873,813892366.2,1
Región de Los Lagos,Llanquihue,Puerto Montt,390585.076,57,17,1010,390585.0754,1677350084,1
Región de Los Lagos,Llanquihue,Puerto Varas,528520.5254,56,17,1010,528520.5247,4067052641,1
Región de Los Lagos,Osorno,Osorno,256150.5056,55,16,1030,256150.5056,955484202.8,1
Región de Los Lagos,Osorno,Puerto Octay,280704.271,56,17,1030,280704.2711,1803496114,1
Región de Los Lagos,Osorno,Purranque,346036.2906,56,17,1030,346036.2884,1458238051,1
Región de Los Lagos,Osorno,Puyehue,307161.1121,56,17,1030,307161.1123,1628417749,1
Región de Los Lagos,Osorno,Río Negro,304424.4472,56,17,1030,304424.4477,1268238564,1
Región de Los Lagos,Osorno,San Juan de la Costa,279300.6267,55,16,1030,279300.6278,1534065638,1
Región de Los Lagos,Osorno,San Pablo,182841.3883,55,16,1030,182841.3883,630650053.7,1
Región de Los Lagos,Palena,Chaitén,1021494.464,58,17,1040,1021494.46,8268805392,1
Región de Los Lagos,Palena,Futaleufú,223490.3838,58,17,1040,223490.384,1235650532,1
Región de Los Lagos,Palena,Hualaihué,620859.1374,58,17,1040,620859.137,2885431035,1
Región de Los Lagos,Palena,Palena,362175.5077,58,17,1040,362175.5074,2644456430,1
Región de Los Ríos,Valdivia,Corral,285247.6422,53,16,1410,285247.6432,719416968.6,1
Región de Los Ríos,Ranco,Futrono,313512.9879,54,16,1420,313512.9888,2089893521,1
Región de Aysén del Gral.Ibañez del Campo,Capitán Prat,O'Higgins,1952964.64,59,18,1130,658545.2496,8456750855,1
Región de Aysén del Gral.Ibañez del Campo,General Carrera,Río Ibáñez,1259707.925,59,18,1140,481061.9965,6038292688,1
Región de Antofagasta,Antofagasta,Antofagasta,1114785.212,4,2,2101,1114785.212,30985872464,1
Región de Antofagasta,Antofagasta,Mejillones,366551.5724,4,2,2102,366551.5722,3569509964,1
Región de Antofagasta,Antofagasta,Sierra Gorda,540055.4221,4,2,2103,540055.4224,12833941472,1
Región de Antofagasta,Antofagasta,Taltal,771566.5776,4,2,2104,771566.5777,20292879510,1
Región de Antofagasta,El Loa,Calama,627965.8642,3,2,2201,627965.8645,15509937954,1
Región de Antofagasta,El Loa,Ollagüe,287024.3941,3,2,2202,287024.3944,2851769531,1
Región de Antofagasta,El Loa,San Pedro de Atacama,701800.3133,3,2,2203,701800.3133,23590601281,1
Región de Antofagasta,Tocopilla,María Elena,629941.0722,3,2,2302,629941.0727,12200790214,1
Región de Antofagasta,Tocopilla,Tocopilla,419196.3697,3,2,2301,419196.3707,4184711365,1
Región de Atacama,Chañaral,Chañaral,454914.0388,5,3,3201,454914.038,5748023546,1
Región de Atacama,Chañaral,Diego de Almagro,834480.3511,5,3,3202,834480.3509,19134901133,1
Región de Atacama,Copiapó,Caldera,470854.9732,6,3,3102,470854.9734,3696965276,1
Región de Atacama,Copiapó,Copiapó,1221031.371,5,3,3101,1221031.371,17606007258,1
Región de Atacama,Copiapó,Tierra Amarilla,663514.7324,6,3,3103,663514.7322,11274462968,1
Región de Atacama,Huasco,Alto del Carmen,457962.8846,6,3,3302,457962.8847,6084022910,1
Región de Atacama,Huasco,Freirina,403681.5322,6,3,3303,403681.5327,3034950707,1
Región de Atacama,Huasco,Huasco,308727.4151,6,3,3304,308727.4161,1802721348,1
Región de Atacama,Huasco,Vallenar,627012.4397,6,3,3301,627012.4399,7269976144,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Codegua,125730.1048,33,9,6102,125730.1048,284558171.4,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Coinco,63026.08442,33,9,6103,63026.08401,98655039.15,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Coltauco,89840.90356,33,9,6104,89840.90392,221928292,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Las Cabras,159117.8845,34,9,6107,159117.8841,753477674.6,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Machalí,287697.231,33,9,6108,287697.2306,2594049973,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Malloa,109700.558,33,9,6109,109700.5571,219766195.4,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Peumo,61541.84402,34,9,6112,61541.84382,154101781.4,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Pichidegua,105318.1485,34,9,6113,105318.1486,320799416.1,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Quinta de Tilcoco,45843.86868,33,9,6114,45843.86814,86028833.04,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Rancagua,79799.13461,32,9,6101,79799.13464,261155012.8,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Rengo,165667.7078,33,9,6115,165667.707,584873233.5,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Requínoa,139517.0029,33,9,6116,139517.0029,676452312.5,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Mostazal,125994.8948,33,9,6110,125994.8952,524881197.8,1
Región del Libertador Bernardo O'Higgins,Cachapoal,San Vicente,122357.0737,34,9,6117,122357.0736,483902789.9,1
Región del Libertador Bernardo O'Higgins,Cardenal Caro,La Estrella,125229.2842,35,9,6202,125229.2842,429373699.6,1
Región del Libertador Bernardo O'Higgins,Cardenal Caro,Litueche,191138.4401,35,9,6203,191138.4392,612637792.1,1
Región del Libertador Bernardo O'Higgins,Cardenal Caro,Marchigüe,170038.6242,35,9,6204,170038.6238,658693373.3,1
Región del Libertador Bernardo O'Higgins,Cardenal Caro,Navidad,91273.53448,35,9,6205,91273.53492,301720458,1
Región del Libertador Bernardo O'Higgins,Cardenal Caro,Paredones,137593.9288,35,9,6206,137593.9289,573228610.1,1
Región del Libertador Bernardo O'Higgins,Cardenal Caro,Pichilemu,187804.7116,35,9,6201,187804.7098,716019568.1,1
Región del Libertador Bernardo O'Higgins,Colchagua,Chépica,157701.1415,35,9,6302,157701.1422,482114126.4,1
Región del Libertador Bernardo O'Higgins,Colchagua,Chimbarongo,123299.0218,34,9,6303,123299.0212,507735463.8,1
Región del Libertador Bernardo O'Higgins,Colchagua,Lolol,146275.4515,35,9,6304,146275.4521,597735323.9,1
Región del Libertador Bernardo O'Higgins,Colchagua,Nancagua,74770.99251,35,9,6305,74770.99254,150684173.5,1
Región del Libertador Bernardo O'Higgins,Colchagua,Palmilla,84934.27708,35,9,6306,84934.27746,234308396.3,1
Región del Libertador Bernardo O'Higgins,Colchagua,Peralillo,95845.76846,35,9,6307,95845.76886,282493345.3,1
Región del Libertador Bernardo O'Higgins,Colchagua,Placilla,56061.93375,35,9,6308,56061.93385,144738949.1,1
Región del Libertador Bernardo O'Higgins,Colchagua,Pumanque,110872.2975,35,9,6309,110872.2975,441166934.7,1
Región del Libertador Bernardo O'Higgins,Colchagua,San Fernando,266787.4549,34,9,6301,266787.4542,2319005878,1
Región del Libertador Bernardo O'Higgins,Colchagua,Santa Cruz,127784.8792,35,9,6310,127784.8792,392053862.1,1
Región de Coquimbo,Choapa,Canela,314433.004,9,4,4202,314433.0041,2199167867,1
Región de Coquimbo,Choapa,Illapel,360387.6931,9,4,4201,360387.693,2627509812,1
Región de Coquimbo,Choapa,Los Vilos,281879.7684,9,4,4203,281879.7676,1860301414,1
Región de Coquimbo,Choapa,Salamanca,372597.4287,9,4,4204,372597.4293,3450605363,1
Región de Coquimbo,Elqui,Andacollo,134800.8373,7,4,4103,134800.838,513018071.1,1
Región de Coquimbo,Elqui,Coquimbo,283277.7147,8,4,4102,283277.7142,1431216996,1
Región de Coquimbo,Elqui,La Higuera,494791.9326,7,4,4104,494791.9341,4183927931,1
Región de Coquimbo,Elqui,La Serena,272832.3538,7,4,4101,272832.3533,1906211578,1
Región de Coquimbo,Elqui,Paihuano,209582.2749,7,4,4105,209582.274,1497141888,1
Región de Coquimbo,Elqui,Vicuña,607750.2586,7,4,4106,607750.2584,7601796106,1
Región de Coquimbo,Limarí,Combarbalá,284372.979,9,4,4302,284372.9789,2297377369,1
Región de Coquimbo,Limarí,Monte Patria,383407.3326,9,4,4303,383407.3324,4210264934,1
Región de Coquimbo,Limarí,Punitaqui,232987.5628,9,4,4304,232987.5627,1091598888,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Doñihue,45434.94733,33,9,6105,45434.94722,80238843.46,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Olivar,38304.12816,33,9,6111,38304.12798,43999702.61,1
Región de Coquimbo,Limarí,Ovalle,498574.5523,8,4,4301,498574.5539,3557697141,1
Región de Coquimbo,Limarí,Río Hurtado,319010.5272,8,4,4305,319010.5268,2205842713,1
Región de La Araucanía,Cautín,Carahue,256723.8279,51,15,9102,256723.8283,1341125028,1
Región de La Araucanía,Cautín,Cholchol,122626.4933,51,15,9121,110586.8529,397717479.4,1
Región de La Araucanía,Cautín,Cunco,279935.9995,52,15,9103,279936.0011,1888921670,1
Región de La Araucanía,Cautín,Curarrehue,246981.5409,52,15,9104,246981.5415,1163449753,1
Región de La Araucanía,Cautín,Freire,213151.7175,51,15,9105,213151.7176,938794398.2,1
Región del Libertador Bernardo O'Higgins,Cachapoal,Graneros,56156.62306,33,9,6106,56156.62282,112635054.2,1
Región de La Araucanía,Cautín,Galvarino,142385.8705,49,14,9106,142385.8719,568135024.1,1
Región de La Araucanía,Cautín,Gorbea,164225.3144,52,15,9107,164225.3145,690911077.1,1
Región de La Araucanía,Cautín,Lautaro,235808.0112,49,14,9108,235808.0118,907434999.1,1
Región de La Araucanía,Cautín,Loncoche,224073.6967,52,15,9109,224073.6967,973902708.3,1
Región de La Araucanía,Cautín,Melipeuco,172698.953,49,14,9110,172698.9536,1107733941,1
Región de La Araucanía,Cautín,Nueva Imperial,176551.4208,51,15,9111,177562.2288,763077446.6,1
Región de La Araucanía,Cautín,Padre Las Casas,150680.2795,50,15,9112,150680.2799,402498591.4,1
Región de La Araucanía,Cautín,Perquenco,114785.8561,49,14,9113,114785.8569,331049840,1
Región de La Araucanía,Cautín,Pitrufquén,208032.3888,51,15,9114,208032.3885,578629646,1
Región de La Araucanía,Cautín,Pucón,210477.0927,52,15,9115,210477.0932,1241526957,1
Región de La Araucanía,Cautín,Saavedra,102781.1064,51,15,9116,102781.1063,396804909.2,1
Región de La Araucanía,Cautín,Temuco,113349.942,50,15,9101,113349.9419,465475512.6,1
Región de La Araucanía,Cautín,Teodoro Schmidt,161622.5292,51,15,9117,161622.5296,655793689.5,1
Región de La Araucanía,Cautín,Toltén,158168.411,52,15,9118,158168.4111,853023520.7,1
Región de La Araucanía,Cautín,Vilcún,266438.9946,49,14,9119,266438.9947,1416588404,1
Región de La Araucanía,Cautín,Villarrica,225807.0052,52,15,9120,225807.0046,1299225844,1
Región de La Araucanía,Malleco,Angol,249430.7537,48,14,9201,249430.7541,1199182196,1
Región de La Araucanía,Malleco,Collipulli,273338.6102,48,14,9202,273338.6093,1308557957,1
Región de La Araucanía,Malleco,Curacautín,213490.642,49,14,9203,213490.6413,1658648210,1
Región de Valparaíso,San Felipe,Panquehue,56178.19438,11,5,5704,56136.81324,120274716.3,1
Región del Bío-Bío,Bío-Bío,Mulchén,311947.9084,47,13,8305,311947.9081,1922636447,1
Región del Bío-Bío,Bío-Bío,Nacimiento,191416.3448,47,13,8306,191416.3443,911777084.3,1
Región del Bío-Bío,Bío-Bío,Negrete,77213.54825,47,13,8307,77213.54831,155674588.8,1
Región del Bío-Bío,Bío-Bío,Quilaco,282388.7668,47,13,8308,282388.7673,1126255598,1
Región del Bío-Bío,Bío-Bío,Quilleco,240420.5595,47,13,8309,240420.56,1121994083,1
Región del Bío-Bío,Bío-Bío,San Rosendo,57593.29981,47,13,8310,57593.30021,93389815.63,1
Región del Bío-Bío,Bío-Bío,Santa Bárbara,232964.5041,47,13,8311,232964.5041,1263499645,1
Región del Bío-Bío,Bío-Bío,Tucapel,174044.2756,47,13,8312,174044.2761,910338984.8,1
Región del Bío-Bío,Bío-Bío,Yumbel,175145.5609,42,12,8313,175145.5614,729559410.6,1
Región del Bío-Bío,Concepción,Concepción,87754.41924,44,12,8101,87754.41965,219405166.6,1
Región del Bío-Bío,Concepción,Coronel,127818.3156,45,12,8102,127818.3155,278792379.7,1
Región del Bío-Bío,Concepción,Florida,143484.4866,45,12,8104,143484.4871,607325123.8,1
Región del Bío-Bío,Concepción,Hualpén,48638.90346,43,12,8112,48638.90277,53689374.93,1
Región del Bío-Bío,Concepción,Hualqui,140474.8416,45,12,8105,140474.8419,540906193.1,1
Región del Bío-Bío,Concepción,Lota,65075.9953,46,13,8106,65075.99517,114933175.3,1
Región del Bío-Bío,Concepción,Penco,67200.98338,45,12,8107,67200.98349,108009365,1
Región del Bío-Bío,Concepción,Santa Juana,172500.9997,45,12,8109,172500.9993,777309318.8,1
Región del Bío-Bío,Concepción,Talcahuano,103046.3621,43,12,8110,103046.3636,92470804.17,1
Región del Bío-Bío,Concepción,Tomé,150061.1777,45,12,8111,150061.1787,496144780.4,1
Región del Bío-Bío,Ñuble,Bulnes,113221.9553,42,12,8402,113221.9563,426502084.5,1
Región del Bío-Bío,Ñuble,Chillán,208927.6513,41,13,8401,208927.6513,476358484.4,1
Región del Bío-Bío,Ñuble,Chillán Viejo,87876.09961,41,13,8406,87876.10013,262383146.8,1
Región del Bío-Bío,Ñuble,Cobquecura,167605.3414,42,12,8403,167605.3422,570310213.9,1
Región del Bío-Bío,Ñuble,Coelemu,103425.1005,42,12,8404,103425.1003,341748728.8,1
Región del Bío-Bío,Concepción,Chiguayante,52415.34135,44,12,8103,52415.34115,75123647.24,1
Región del Bío-Bío,Concepción,San Pedro de la Paz,54738.46243,44,12,8108,54738.46263,112868911,1
Región del Bío-Bío,Ñuble,El Carmen,157467.0497,41,13,8407,157467.0489,666726194.6,1
Región del Bío-Bío,Ñuble,Ninhue,119041.3946,42,12,8408,119041.3953,403334362.5,1
Región del Bío-Bío,Ñuble,Ñiquén,159257.9064,42,12,8409,159257.9069,491946338.7,1
Región del Bío-Bío,Ñuble,Pemuco,200217.6787,41,13,8410,200217.6782,563172916.5,1
Región del Bío-Bío,Ñuble,Pinto,262471.1791,41,13,8411,262471.1788,1101954654,1
Región del Bío-Bío,Ñuble,Portezuelo,89771.4565,42,12,8412,89771.45666,290366932.1,1
Región del Bío-Bío,Ñuble,Quillón,130454.9135,42,12,8413,130454.9137,406218155,1
Región del Bío-Bío,Ñuble,Quirihue,181329.5553,42,12,8414,181329.5549,590294909.6,1
Región del Bío-Bío,Ñuble,Ranquil,83708.50747,42,12,8415,83708.50704,248092485.2,1
Región del Bío-Bío,Ñuble,San Carlos,211209.7044,42,12,8416,211209.7043,876302234.5,1
Región del Bío-Bío,Ñuble,San Fabián,311061.9324,42,12,8417,311061.9314,1540843814,1
Región del Bío-Bío,Ñuble,San Ignacio,121908.6428,41,13,8418,121908.6429,363488809.3,1
Región del Bío-Bío,Ñuble,San Nicolás,130240.5558,42,12,8419,130240.5558,565516725.9,1
Región del Bío-Bío,Ñuble,Treguaco,121960.93,42,12,8420,121960.9304,315635464.9,1
Región del Bío-Bío,Ñuble,Yungay,209264.0132,41,13,8421,209264.0128,825021389,1
Región del Maule,Cauquenes,Chanco,139098.1356,40,11,7202,139098.135,526471203.5,1
